zipcode,Cases,Population,Rate
94022,2901,19378,14971
94024,3184,23961,13288
94040,6103,35845,17026
94041,2490,14394,17299
94043,5150,31488,16355
94085,4855,23612,20562
94086,8570,49630,17268
94087,8884,57219,15526
94089,4694,22313,21037
94301,2729,17191,15875
94304,777,3902,19913
94305,1080,15730,6866
94306,4331,27549,15721
95002,617,2146,28751
95008,9831,46513,21136
95013,34,77,44156
95014,8433,62430,13508
95020,20263,63852,31734
95030,1813,13288,13644
95032,4649,26281,17690
95035,17172,77562,22140
95037,13439,51652,26018
95046,983,6025,16315
95050,9236,39452,23411
95051,11922,58123,20512
95053,252,3678,6852
95054,5746,24264,23681
95070,4516,31308,14424
95110,7241,20203,35841
95111,22115,62392,35445
95112,17243,61060,28239
95113,1139,1939,58742
95116,18555,56481,32852
95117,7735,29592,26139
95118,7945,32560,24401
95119,3027,10472,28906
95120,6581,37774,17422
95121,12323,38102,32342
95122,21243,57780,36765
95123,18585,67186,27662
95124,9607,51170,18775
95125,12936,53574,24146
95126,9780,35988,27176
95127,21367,65686,32529
95128,9648,37665,25615
95129,6771,39828,17001
95130,2565,14863,17258
95131,7102,31170,22785
95132,9276,41844,22168
95133,7804,28726,27167
95134,5999,27224,22036
95135,3796,22358,16978
95136,12902,47599,27106
95138,4559,20766,21954
95139,1696,7293,23255
95140,41,115,35652
95148,13536,48854,27707
