zipcode,Cases,Population,Rate
94022,2917,19378,15053
94024,3190,23961,13313
94040,6143,35845,17138
94041,2509,14394,17431
94043,5178,31488,16444
94085,4885,23612,20689
94086,8610,49630,17348
94087,8924,57219,15596
94089,4721,22313,21158
94301,2745,17191,15968
94304,782,3902,20041
94305,1094,15730,6955
94306,4354,27549,15805
95002,618,2146,28798
95008,9885,46513,21252
95013,34,77,44156
95014,8484,62430,13590
95020,20341,63852,31856
95030,1827,13288,13749
95032,4673,26281,17781
95035,17292,77562,22294
95037,13500,51652,26136
95046,990,6025,16432
95050,9285,39452,23535
95051,11998,58123,20642
95053,254,3678,6906
95054,5774,24264,23797
95070,4552,31308,14539
95110,7278,20203,36024
95111,22191,62392,35567
95112,17320,61060,28366
95113,1151,1939,59360
95116,18623,56481,32972
95117,7761,29592,26227
95118,7969,32560,24475
95119,3041,10472,29039
95120,6618,37774,17520
95121,12358,38102,32434
95122,21300,57780,36864
95123,18707,67186,27844
95124,9663,51170,18884
95125,13005,53574,24275
95126,9844,35988,27354
95127,21453,65686,32660
95128,9711,37665,25783
95129,6812,39828,17104
95130,2583,14863,17379
95131,7142,31170,22913
95132,9333,41844,22304
95133,7827,28726,27247
95134,6049,27224,22219
95135,3813,22358,17054
95136,12964,47599,27236
95138,4587,20766,22089
95139,1707,7293,23406
95140,41,115,35652
95148,13582,48854,27801
